,a,b,c,d,alpha1,beta1,gamma1,delta1,eps1,dseta1,eta1,alpha2,beta2,gamma2,delta2,eps2,dseta2,eta2,dist,divergent
23,0.0927298528080498,0.7611923429151974,-0.0158390910745171,0.6390274402312812,0,0,0,0,0,8.315670779354827e-05,0,-0.0003416352542811,0,0,0,0,0,0,46.34814578141671,False
24,0.926355303741591,0.0330064477231473,-1.867047202839749,0.2713747094700429,0,0,0,0,0,-3.8027206966967775e-05,0,-0.0007960656107992,0,0,0,0,0,0,44.80110120729139,False
25,0.6048370082716943,0.1284371774800736,-0.170569802653739,0.4130517461507161,0,0,0,0,0,8.228681209932751e-05,0,0.0036020780301036,0,0,0,0,0,0,48.06135071745353,False
26,0.4793832081615368,0.3132925435546689,-0.1911512605549852,0.7865101280051308,0,0,0,0,0,3.668172912486649e-05,0,-0.0004276910661327,0,0,0,0,0,0,47.344176385367454,False
27,0.9003149333972487,0.0193783232656143,-1.902284926767136,0.4286584256672512,0,0,0,0,0,-2.381033878311776e-05,0,0.0066546144019189,0,0,0,0,0,0,43.50744545495371,False
28,0.3970245475011578,0.4759683051061798,0.0457154560413335,0.3387572666149645,0,0,0,0,0,6.002761531494368e-05,0,0.0011023081856685,0,0,0,0,0,0,47.04082968198009,False
29,0.6585560900844443,0.2749865079797957,-0.0582026882311783,0.0578002506479529,0,0,0,0,0,4.74508070955638e-05,0,0.0025910511214376,0,0,0,0,0,0,47.705054577432776,False
30,0.0191876311698804,0.6942226465702857,-0.0990659538618135,0.7936215233457609,0,0,0,0,0,0.0001472690016587,0,0.0005361076615103,0,0,0,0,0,0,44.77340319278335,False
31,0.383585753803036,0.305601886777306,0.033003442709123,0.5904344255251606,0,0,0,0,0,9.736351852900292e-05,0,0.0019273059635215,0,0,0,0,0,0,47.58790557115032,False
32,0.465540296557402,0.3775919612868939,-0.0305687971163342,0.6283970694944907,0,0,0,0,0,6.807856348353752e-05,0,0.0009120729232656,0,0,0,0,0,0,46.74563825464468,False
33,0.4183135480919766,0.4108324460748402,-0.1886594969847581,0.7702212223569762,0,0,0,0,0,6.555457164524801e-05,0,0.0007386853315277,0,0,0,0,0,0,46.36738468228693,False
34,0.5434721513190315,0.2490948490918958,0.2388101077770419,-0.1139668190576097,0,0,0,0,0,9.82527115848114e-05,0,0.0016976414394886,0,0,0,0,0,0,47.97608339684155,False
35,0.4045455402785136,0.4433531817390488,-0.1636343451392161,0.7716221779555399,0,0,0,0,0,7.205246294195865e-05,0,0.0001785490762188,0,0,0,0,0,0,45.83532039292839,False
36,0.3584029255759886,0.4161181320552209,-0.2225550615735239,0.8987176276945652,0,0,0,0,0,7.400473599800632e-05,0,0.000108566065421,0,0,0,0,0,0,44.89640782825083,False
37,0.2215830933926157,0.4724454841112524,-0.0943690102127499,0.699768897506845,0,0,0,0,0,0.0001314569798354,0,0.0009479051256896,0,0,0,0,0,0,46.13235512515268,False
38,0.9122221558692014,0.102425705668069,-0.9712718001930734,0.3151583017750479,0,0,0,0,0,-4.449046394400735e-05,0,0.0002526632995787,0,0,0,0,0,0,46.87059983347765,False
39,0.4927227776961334,0.3491630657543347,0.108045793995446,0.3291891939109805,0,0,0,0,0,6.21485586586465e-05,0,0.0015961898151094,0,0,0,0,0,0,46.25562124754706,False
40,0.2588676865705719,0.3952595488788724,-0.0439942073068437,0.7261646603854759,0,0,0,0,0,0.0001533607841454,0,0.0010042957081904,0,0,0,0,0,0,46.30177935380196,False
41,0.3303901714813748,0.5121133957848811,0.157310316152738,0.3603406473438042,0,0,0,0,0,9.001907497773987e-05,0,-0.0002411319131862,0,0,0,0,0,0,47.05937993985475,False
42,0.4068573459062157,0.3323704721781295,-0.1660937514069329,0.7969124838897979,0,0,0,0,0,9.932593355426428e-05,0,0.0003977408208945,0,0,0,0,0,0,45.070282800732336,False
43,0.9843225135394156,0.0300629825468705,-1.3704012415298052,0.2537147193260471,0,0,0,0,0,-6.330506142505109e-05,0,0.0019933246804286,0,0,0,0,0,0,45.00673956261805,False
44,0.4735866074929813,0.3906176781813313,0.0510722239080307,0.2730607324771799,0,0,0,0,0,7.900135603619041e-05,0,0.0010983975007898,0,0,0,0,0,0,46.034171548691454,False
45,0.9160895401214416,0.0133803470902726,-1.4317359809666224,0.5995587512110694,0,0,0,0,0,-4.540306402264392e-05,0,0.0077409442587919,0,0,0,0,0,0,46.92316822749627,False
46,0.8942588153359061,-0.0003576101027875,0.6865547415282478,0.8441477973005678,0,0,0,0,0,-3.770947868418486e-05,0,-0.0019731404445191,0,0,0,0,0,0,45.88850960368981,False
47,0.6169594366416891,0.1634971366050397,0.0045769528238785,-0.1012216651724642,0,0,0,0,0,7.633562871206446e-05,0,0.0042797862100312,0,0,0,0,0,0,48.184369320740856,False
48,0.4831894550952125,0.3516172140678471,-0.0364850653592609,0.5754345389989965,0,0,0,0,0,7.573659053542069e-05,0,-2.5586017428875785e-05,0,0,0,0,0,0,46.140247462764414,False
49,0.3563433706174095,0.3739676227726138,-0.1519474695257656,0.7518393477516887,0,0,0,0,0,0.0001162666935088,0,-0.0003000186401269,0,0,0,0,0,0,45.97423538831237,False
50,0.2203347305785681,0.4611473606637832,0.0769404161317086,0.5905861079478396,0,0,0,0,0,0.0001444411106948,0,0.0008947572412501,0,0,0,0,0,0,46.772975824702975,False
51,0.557846330052091,0.3031522343163204,-0.1685772283079729,0.6249957662800036,0,0,0,0,0,4.264565303356616e-05,0,0.0011705657827387,0,0,0,0,0,0,46.68169718310949,False
52,0.4280054971961968,0.3568611847867404,0.0514872054489177,0.5128881674581982,0,0,0,0,0,5.554463407606631e-05,0,0.0006644475843304,0,0,0,0,0,0,46.34617535331887,False
53,0.1818631378104149,0.585574337749613,-0.1699226920554892,0.8719833023371901,0,0,0,0,0,9.828907219639778e-05,0,4.536224971809056e-05,0,0,0,0,0,0,43.96870843675946,False
54,0.4071769436521713,0.4693048868351481,-0.0609805574185557,0.6952901387179748,0,0,0,0,0,3.437848877126202e-05,0,0.0008532494342801,0,0,0,0,0,0,46.136868834091885,False
55,0.322937652470836,0.2770616896854112,-0.1806637826589079,0.8028809008159401,0,0,0,0,0,0.0001460005322206,0,0.0005651403481802,0,0,0,0,0,0,47.58716692747399,False
56,0.1352864145317527,0.6531447485746447,-0.0993226871173749,0.7714303697806355,0,0,0,0,0,9.537682315814556e-05,0,-0.000691704939041,0,0,0,0,0,0,45.91078851665136,False
57,0.3927787428198979,0.3161824136677604,-0.0617263998329338,0.6734046713174973,0,0,0,0,0,0.0001280602865016,0,0.0008426492370107,0,0,0,0,0,0,45.92402972706934,False
58,0.3423199669769414,0.4059789982152906,0.0005321747972844,0.5773135135093117,0,0,0,0,0,0.0001136586042882,0,0.001433517636286,0,0,0,0,0,0,45.75154446398233,False
59,0.4844415352672389,0.3879988124357965,-0.0660729018033485,0.5959838462750291,0,0,0,0,0,3.485496772501535e-05,0,0.0014622617528054,0,0,0,0,0,0,46.24165831470266,False
60,0.1206061569984777,0.6798782271530679,-0.2146734030012151,0.9034478374460247,0,0,0,0,0,0.0001190467100665,0,-0.0003459587207919,0,0,0,0,0,0,46.78739466581398,False
61,0.5282222569093769,0.3239393483508541,-0.0502604596552918,0.5136203196926554,0,0,0,0,0,5.472012119368399e-05,0,0.0007774285196473,0,0,0,0,0,0,45.52089592528551,False
62,0.4741830495883823,0.405780287135419,0.1038567054589916,0.0933640082999192,0,0,0,0,0,9.301219452133935e-05,0,0.0020345615834505,0,0,0,0,0,0,47.72011834821101,False
63,0.5685727808986667,0.2799882727408649,0.1258824526890083,-0.0353564557248005,0,0,0,0,0,6.635907804196992e-05,0,0.0006908432466992,0,0,0,0,0,0,47.18579316605018,False
64,0.5758880173744321,0.2521331420724721,-0.063748674795012,-0.0220359603094444,0,0,0,0,0,0.0001034162213193,0,0.001056644095815,0,0,0,0,0,0,48.15663540989635,False
65,0.1136230978165349,0.8665235500589481,-0.0844198376797904,0.7122500750810001,0,0,0,0,0,2.6037691694524457e-05,0,-0.0001539765237932,0,0,0,0,0,0,47.64961754612007,False
66,0.9306965063539088,0.0172417961864037,-1.7701964266397612,0.3156173036042022,0,0,0,0,0,-3.381371350515672e-05,0,0.0023560577434394,0,0,0,0,0,0,41.77043956843544,False
67,0.9235198647797228,0.0418636128154106,-1.4141446840532383,0.2549760524517892,0,0,0,0,0,-6.0463428891391735e-05,0,-0.0002367153562972,0,0,0,0,0,0,45.306427308600014,False
68,0.4374783906193631,0.4392212152224015,0.15424543707072,0.3373469008257235,0,0,0,0,0,2.6540807962203998e-05,0,0.0001822410224152,0,0,0,0,0,0,47.1767687573078,False
69,0.4426868700239907,0.3942440324020682,-0.0787300461717153,0.6118428318323641,0,0,0,0,0,5.888993714005797e-05,0,0.0010214762098176,0,0,0,0,0,0,45.35694037790741,False
70,0.5247422041231,0.3967021537131199,0.0009394908893978,0.2344664654097981,0,0,0,0,0,3.918901117175584e-05,0,0.0004390382579599,0,0,0,0,0,0,47.12367489281284,False
71,0.8772232037916394,0.0915009280896219,-1.4495112213850263,0.0429345104913667,0,0,0,0,0,-1.627237411257323e-05,0,0.006301188064668,0,0,0,0,0,0,47.717063234265616,False
72,-0.0584730161696462,0.8624398689487989,-0.1952151454934325,0.9440391340580648,0,0,0,0,0,0.000101204686229,0,-0.0001091878218789,0,0,0,0,0,0,45.50319688621542,False
73,0.5823420141243996,0.2742851862122735,-0.0290407379750521,0.2006181111453266,0,0,0,0,0,7.688723644377391e-05,0,0.0012344196202465,0,0,0,0,0,0,46.139142281104725,False
74,0.5083370583124784,0.3041692549069883,-0.0343692564076352,0.4362547354809383,0,0,0,0,0,6.679477347761491e-05,0,-0.0001096963034821,0,0,0,0,0,0,46.26406228718135,False
75,0.4605724010453809,0.3288740546515565,-0.0604210383784142,0.5479270687918629,0,0,0,0,0,8.962072549036422e-05,0,0.0010545608181062,0,0,0,0,0,0,45.47020162909972,False
76,0.613358870342438,0.2104320289942238,-0.0536245713266663,0.3193358562047597,0,0,0,0,0,3.853955774004048e-05,0,5.3669993124541016e-05,0,0,0,0,0,0,47.63906613927534,False
