,origin,context,perturb_type,perturb_size,perturb_sign,n,asyn,baseline_pre,baseline_post
46,combPSpos20,comb,PS,20,pos,7,4.582017543859649,-0.20673843700159478,6.217296650717703
47,combPSpos20,comb,PS,20,pos,8,4.467185007974481,-0.20673843700159478,6.217296650717703
48,combPSpos20,comb,PS,20,pos,9,7.5513157894736835,-0.20673843700159478,6.217296650717703
49,combPSpos20,comb,PS,20,pos,10,7.556499202551834,-0.20673843700159478,6.217296650717703
50,combPSpos20,comb,PS,20,pos,11,6.929465709728867,-0.20673843700159478,6.217296650717703
51,combPSpos50,comb,PS,50,pos,-5,-1.6170454545454545,0.3158766233766236,6.048336940836942
52,combPSpos50,comb,PS,50,pos,-4,1.6520021645021647,0.3158766233766236,6.048336940836942
53,combPSpos50,comb,PS,50,pos,-3,2.6216269841269844,0.3158766233766236,6.048336940836942
54,combPSpos50,comb,PS,50,pos,-2,0.7871031746031748,0.3158766233766236,6.048336940836942
55,combPSpos50,comb,PS,50,pos,-1,-1.8643037518037515,0.3158766233766236,6.048336940836942
56,combPSpos50,comb,PS,50,pos,0,-50.67736291486291,0.3158766233766236,6.048336940836942
57,combPSpos50,comb,PS,50,pos,1,6.757810245310246,0.3158766233766236,6.048336940836942
58,combPSpos50,comb,PS,50,pos,2,14.277976190476192,0.3158766233766236,6.048336940836942
59,combPSpos50,comb,PS,50,pos,3,8.612752525252526,0.3158766233766236,6.048336940836942
60,combPSpos50,comb,PS,50,pos,4,4.877435064935065,0.3158766233766236,6.048336940836942
61,combPSpos50,comb,PS,50,pos,5,8.062968975468976,0.3158766233766236,6.048336940836942
62,combPSpos50,comb,PS,50,pos,6,5.180970418470419,0.3158766233766236,6.048336940836942
63,combPSpos50,comb,PS,50,pos,7,7.344065656565657,0.3158766233766236,6.048336940836942
64,combPSpos50,comb,PS,50,pos,8,6.524007936507937,0.3158766233766236,6.048336940836942
65,combPSpos50,comb,PS,50,pos,9,6.4138347763347765,0.3158766233766236,6.048336940836942
66,combPSpos50,comb,PS,50,pos,10,6.578228715728716,0.3158766233766236,6.048336940836942
67,combPSpos50,comb,PS,50,pos,11,3.3815476190476192,0.3158766233766236,6.048336940836942
