,a,b,c,d,alpha1,beta1,gamma1,delta1,eps1,dseta1,eta1,alpha2,beta2,gamma2,delta2,eps2,dseta2,eta2,dist,subpopulation,perturb_type_x_context,perturb_type_x_context_x_subpopulation
46,0.499031143858462,0.1991793465413738,-0.1359179529003484,0.001573015308665,0,0,0,0,0,0.000180512305971,0,0.0017583304819685,0,0,0,0,0,0,63.1403774272668,0,PSSCpure,PSSCpure0
47,0.4699592338895315,0.1712675414433575,0.0445635560264916,-0.0442656863263686,0,0,0,0,0,0.0001952155864578,0,0.002933136424659,0,0,0,0,0,0,62.39534196702113,0,PSSCpure,PSSCpure0
48,0.4531703998545393,0.2045794803723883,0.1885084834698731,-0.1919160145167926,0,0,0,0,0,0.0001944959989518,0,0.003223359072301,0,0,0,0,0,0,63.04555870841644,0,PSSCpure,PSSCpure0
49,0.4838328666136413,0.1130151390869342,-0.1759748640345484,-0.0514323495732491,0,0,0,0,0,0.0001921481911652,0,-0.0026209586202825,0,0,0,0,0,0,63.43706879032203,0,PSSCpure,PSSCpure0
50,0.4828448386464319,0.1795035408041809,-0.1930530844745877,0.0603688403368383,0,0,0,0,0,0.0001836075266529,0,-0.0012713309369057,0,0,0,0,0,0,63.70554628920812,0,PSSCpure,PSSCpure0
51,0.4435667305749957,0.217291944537298,-0.106596993093436,-0.0709147204694051,0,0,0,0,0,0.0001920922378518,0,0.0024788950469102,0,0,0,0,0,0,63.05553007092266,0,PSSCpure,PSSCpure0
52,0.5618451344621471,0.0781974833382808,0.0076430766845767,-0.0914367995400593,0,0,0,0,0,0.0001888834201631,0,-0.0029425557308292,0,0,0,0,0,0,66.17743870835736,0,PSSCpure,PSSCpure0
53,0.4514177179890835,0.2886126576163881,-0.051378804406494,-0.1613783443895877,0,0,0,0,0,0.0001823204511288,0,-0.0011588508932976,0,0,0,0,0,0,64.31346155733674,0,PSSCpure,PSSCpure0
54,0.4685498209161016,0.2727830632254022,0.0337127209127507,-0.0814460861629067,0,0,0,0,0,0.0001929240997054,0,0.0005336486717139,0,0,0,0,0,0,63.20006887016896,0,PSSCpure,PSSCpure0
55,0.5236622236427131,0.0510306384154866,-0.1646474601610035,0.0500682657950632,0,0,0,0,0,0.0001942044369603,0,0.0020366350777329,0,0,0,0,0,0,64.18431191762947,0,PSSCpure,PSSCpure0
