,Exp_name,Experiment,Subject,General_condition,Condition,Relative_beep,mean_asyn,std_asyn,sem_asyn,n_asyn,ci_asyn
5150,Experiment_SC,0,1,3,3,-4,2.416666666666667,12.341151175870063,3.9026146664214627,10,7.649124746186067
5151,Experiment_SC,0,1,3,3,-3,-9.883333333333335,23.718260142715586,7.5003724187371565,10,14.70072994072483
5152,Experiment_SC,0,1,3,3,-2,2.8166666666666673,14.60264858438401,4.617762939768696,10,9.050815361946643
5153,Experiment_SC,0,1,3,3,-1,4.716666666666667,10.663208351414644,3.372002555539942,10,6.609125008858286
5154,Experiment_SC,0,1,3,3,0,-18.083333333333336,17.315384225139145,5.475605271238948,10,10.732186331628336
5155,Experiment_SC,0,1,3,3,1,-22.283333333333335,23.58280002014442,7.457536166792109,10,14.61677088691253
5156,Experiment_SC,0,1,3,3,2,-18.48333333333333,23.296326473512813,7.3669452771178765,10,14.439212743151035
5157,Experiment_SC,0,1,3,3,3,-9.183333333333334,16.05477698996566,5.076966261435374,10,9.950853872413333
5158,Experiment_SC,0,1,3,3,4,-0.5833333333333324,27.28668670991292,8.628807980277104,10,16.912463641343123
5159,Experiment_SC,0,1,3,3,5,1.2166666666666672,25.320178114560854,8.00694336031601,10,15.69360898621938
5160,Experiment_SC,0,1,3,3,6,-1.2833333333333337,26.94645467873439,8.521217165130146,10,16.701585643655086
5161,Experiment_SC,0,1,3,3,7,-1.6833333333333336,20.600618772919432,6.514487653124845,10,12.768395800124694
5162,Experiment_SC,0,1,3,3,8,0.5166666666666669,17.928260675932773,5.669413822117745,10,11.112051091350782
5163,Experiment_SC,0,1,3,3,9,4.716666666666667,21.940161326032808,6.938088202180379,10,13.598652876273542
5164,Experiment_SC,0,1,3,3,10,13.316666666666666,13.59385527488681,4.298754485133664,10,8.425558790861981
5165,Experiment_SC,0,1,3,3,11,0.5166666666666666,16.922928051231573,5.3514997321046405,10,10.488939474925095
5166,Experiment_SC,0,1,4,4,-6,-8.583333333333334,13.035402455302913,3.762996558282123,12,7.375473254232961
5167,Experiment_SC,0,1,4,4,-5,-5.583333333333333,12.70458837021356,3.667498757743094,12,7.188297565176465
5168,Experiment_SC,0,1,4,4,-4,1.1666666666666672,12.005890809990492,3.4658021455046324,12,6.79297220518908
5169,Experiment_SC,0,1,4,4,-3,0.4166666666666676,16.096693304947305,4.646715106337087,12,9.10756160842069
5170,Experiment_SC,0,1,4,4,-2,4.083333333333333,15.234944547110612,4.397949667681667,12,8.619981348656067
5171,Experiment_SC,0,1,4,4,-1,8.5,11.58194345269455,3.343419085076111,12,6.553101406749177
5172,Experiment_SC,0,1,4,4,0,-51.5,19.46221410266,5.618257275598441,12,11.011784260172943
5173,Experiment_SC,0,1,4,4,1,-53.75,25.687761893771736,7.415418122124062,12,14.53421951936316
5174,Experiment_SC,0,1,4,4,2,-19.666666666666668,39.04491068635002,11.27129484762454,12,22.0917379013441
5175,Experiment_SC,0,1,4,4,3,0.16666666666666666,27.59867512557204,7.967051256513024,12,15.615420462765522
5176,Experiment_SC,0,1,4,4,4,6.333333333333333,25.344096597101906,7.3162104963523324,12,14.33977257285057
5177,Experiment_SC,0,1,4,4,5,3.4166666666666665,21.466970165368192,6.196980501830495,12,12.146081783587771
5178,Experiment_SC,0,1,4,4,6,7.166666666666667,21.210108129584977,6.122830819078478,12,12.00074840539382
5179,Experiment_SC,0,1,4,4,7,-6.833333333333333,19.52905113885051,5.637551466016655,12,11.049600873392643
5180,Experiment_SC,0,1,4,4,8,-1.1666666666666665,23.372261898725725,6.746990849399866,12,13.22410206482374
5181,Experiment_SC,0,1,4,4,9,8.333333333333334,24.13074655481942,6.965946509585814,12,13.653255158788195
5182,Experiment_SC,0,1,4,4,10,11.416666666666666,18.493583380800658,5.338637671593025,12,10.46372983632233
5183,Experiment_SC,0,1,4,4,11,-4.416666666666666,19.333921098693484,5.581222275410834,12,10.939195659805234
5184,Experiment_SC,0,2,0,0,-6,11.378787878787877,19.27233061341381,5.810826316397594,11,11.389219580139285
5185,Experiment_SC,0,2,0,0,-5,10.015151515151514,18.653336690709512,5.624192626477557,11,11.02341754789601
5186,Experiment_SC,0,2,0,0,-4,-1.6212121212121224,15.542073883689417,4.686111594198141,11,9.184778724628353
5187,Experiment_SC,0,2,0,0,-3,-2.7121212121212133,13.654891453470464,4.117104682199293,11,8.069525177110613
5188,Experiment_SC,0,2,0,0,-2,-6.712121212121213,20.643547674904635,6.224263816315663,11,12.1995570799787
5189,Experiment_SC,0,2,0,0,-1,-10.34848484848485,18.87803758419564,5.691942495000384,11,11.156207290200753
5190,Experiment_SC,0,2,0,0,0,33.92424242424242,33.484935554528235,10.096087942145571,11,19.78833236660532
5191,Experiment_SC,0,2,0,0,1,41.46969696969697,32.75674809034843,9.876531160716047,11,19.35800107500345
5192,Experiment_SC,0,2,0,0,2,14.196969696969695,24.786512705929653,7.473414773358672,11,14.647892955782998
5193,Experiment_SC,0,2,0,0,3,5.469696969696968,27.228132732914542,8.20959091064288,11,16.09079818486004
5194,Experiment_SC,0,2,0,0,4,-6.257575757575759,28.557676885399996,8.610463555734274,11,16.876508569239174
5195,Experiment_SC,0,2,0,0,5,2.560606060606059,30.103181146707986,9.076450623611908,11,17.78984322227934
5196,Experiment_SC,0,2,0,0,6,5.924242424242423,28.668930495530798,8.644007781313942,11,16.94225525137533
5197,Experiment_SC,0,2,0,0,7,-2.34848484848485,27.06067817018456,8.159101460278483,11,15.991838862145828
5198,Experiment_SC,0,2,0,0,8,-5.166666666666668,22.473317512107553,6.77596018019855,11,13.280881953189157
5199,Experiment_SC,0,2,0,0,9,-8.257575757575758,17.028630080668336,5.134325151939661,11,10.063277297801736
5200,Experiment_SC,0,2,0,0,10,-5.8939393939393945,20.99447979394064,6.330073831381733,11,12.406944709508196
5201,Experiment_SC,0,2,0,0,11,-1.9848484848484864,24.31968276308245,7.332660249601651,11,14.372014089219237
5202,Experiment_SC,0,2,2,2,-6,0.083333333333335,12.633790180345235,3.9951552450560373,10,7.830504280309833
5203,Experiment_SC,0,2,2,2,-5,0.18333333333333499,9.441323013588383,2.985608484830414,10,5.851792630267611
5204,Experiment_SC,0,2,2,2,-4,0.38333333333333497,7.558026556720924,2.3900578535277917,10,4.6845133929144716
5205,Experiment_SC,0,2,2,2,-3,-4.216666666666665,14.644353818637136,4.6309512928277705,10,9.07666453394243
5206,Experiment_SC,0,2,2,2,-2,-0.916666666666665,7.643786308878766,2.4171774683668232,10,4.737667837998973
5207,Experiment_SC,0,2,2,2,-1,4.483333333333335,7.742957772177784,2.4485382386584926,10,4.7991349477706455
5208,Experiment_SC,0,2,2,2,0,0.083333333333335,15.011775213535818,4.7471401397233715,10,9.304394673857807
5209,Experiment_SC,0,2,2,2,1,-4.016666666666665,19.826788524868988,6.2697810425075975,10,12.288770843314891
5210,Experiment_SC,0,2,2,2,2,3.183333333333335,17.707229813110832,5.5995177261467886,10,10.975054743247705
5211,Experiment_SC,0,2,2,2,3,-3.316666666666665,22.428273877759796,7.092442943977783,10,13.901188170196455
5212,Experiment_SC,0,2,2,2,4,3.383333333333335,27.46535977653162,8.685309364981313,10,17.02320635536337
5213,Experiment_SC,0,2,2,2,5,6.583333333333334,28.09213786589663,8.88351399996951,10,17.41168743994024
5214,Experiment_SC,0,2,2,2,6,7.883333333333335,29.953260916070104,9.472052784408312,10,18.565223457440293
5215,Experiment_SC,0,2,2,2,7,13.183333333333334,30.738889390927163,9.720490321931576,10,19.05216103098589
5216,Experiment_SC,0,2,2,2,8,8.083333333333334,30.918975155903183,9.777438441081376,10,19.163779344519497
5217,Experiment_SC,0,2,2,2,9,2.583333333333335,36.10967945880002,11.41888326684043,10,22.381011203007244
5218,Experiment_SC,0,2,2,2,10,-3.5166666666666657,29.023452628333796,9.17802158675352,10,17.988922310036894
5219,Experiment_SC,0,2,2,2,11,-3.116666666666666,37.17742328980232,11.75653351319655,10,23.042805685865236
5220,Experiment_SC,0,2,3,3,-6,3.090909090909091,16.49787252889893,4.9742957288608665,11,9.749619628567295
5221,Experiment_SC,0,2,3,3,-5,-3.5454545454545454,19.772749332392195,5.961708237208649,11,11.684948144928953
5222,Experiment_SC,0,2,3,3,-4,1.9090909090909087,11.520118545966936,3.473446432489722,11,6.807955007679855
5223,Experiment_SC,0,2,3,3,-3,4.545454545454546,8.16261495038709,2.4611210089617668,11,4.823797177565063
5224,Experiment_SC,0,2,3,3,-2,-4.363636363636363,10.912230188039828,3.290161196337951,11,6.448715944822384
5225,Experiment_SC,0,2,3,3,-1,-1.6363636363636367,21.73806418114167,6.554272959773747,11,12.846375001156542
5226,Experiment_SC,0,2,3,3,0,-21.272727272727273,28.287931538150165,8.529132273391381,11,16.71709925584711
5227,Experiment_SC,0,2,3,3,1,-29.727272727272727,21.542370746362558,6.495269169128456,11,12.730727571491773
5228,Experiment_SC,0,2,3,3,2,-27.818181818181817,19.964615162478307,6.019557961616441,11,11.798333604768224
5229,Experiment_SC,0,2,3,3,3,-28.727272727272727,21.331676071992185,6.431742334563671,11,12.606214975744795
5230,Experiment_SC,0,2,3,3,4,-22.90909090909091,33.11212967045658,9.983682738772625,11,19.56801816799435
5231,Experiment_SC,0,2,3,3,5,-20.363636363636363,38.83439327464896,11.709010132101069,11,22.9496598589181
